age,sex,height_cm,start_weight_kg,target_weight_kg,duration_weeks,start_bmi,target_bmi,avg_calorie_intake,avg_calorie_burn,main_exercise
54,Male,174.7,74.4,60.4,47.9,24.4,19.8,1785,319,Gym 3x/week
24,Male,181.2,77,61.8,41.1,23.4,18.8,2128,332,Gym 3x/week
27,Female,171.1,82,71.9,25.7,28,24.6,1788,504,Running 3x/week
53,Male,186,85.3,79.8,14.1,24.7,23.1,2422,165,Cycling 4x/week
59,Male,168.4,79.3,66.5,29.6,27.9,23.5,1797,216,Running 3x/week
51,Male,184.7,103.2,87.7,47,30.3,25.7,2801,288,Gym 3x/week
54,Female,167.8,84.4,77.1,23.1,30,27.3,1747,184,Gym 3x/week
56,Female,162.8,79,68.4,35.6,29.8,25.8,1680,188,Gym 3x/week
31,Male,185.9,78.7,72.2,20.6,22.8,20.9,2264,376,Swimming 2x/week
27,Male,186,98.5,78.8,50.2,28.5,22.8,2744,585,Cycling 4x/week
23,Female,157,80.2,65.4,33.2,32.5,26.5,1688,254,Gym 3x/week
70,Female,172.6,79.6,64,45,26.7,21.5,1473,580,Swimming 2x/week
21,Female,169.1,83.6,73.1,27.1,29.2,25.5,2161,264,Swimming 2x/week
66,Female,161.8,89.5,76.2,33.4,34.2,29.1,1765,293,Gym 3x/week
20,Female,165.3,61.4,55.6,10.7,22.5,20.4,1731,283,Running 3x/week
37,Male,182.8,115.8,110,12.7,34.7,32.9,3116,397,Gym 3x/week
54,Male,169,94.2,81,21.5,33,28.3,2296,272,HIIT 3x/week
68,Male,183.8,111,93.1,55.3,32.9,27.5,2713,321,Cycling 4x/week
62,Female,154.9,75.6,65.8,33.8,31.5,27.4,1644,376,Running 3x/week
22,Female,163.2,83.8,74.3,22.3,31.5,27.9,1863,321,HIIT 3x/week
38,Female,171.6,89.9,84.8,8.4,30.5,28.8,1876,258,Running 3x/week
22,Male,172.8,88.8,78.6,27.8,29.7,26.3,2650,471,Running 3x/week
61,Male,174.5,82.5,70,28.7,27.1,23,2094,181,HIIT 3x/week
43,Female,168.4,80.3,67,41.1,28.3,23.6,1836,316,Gym 3x/week
41,Female,164.7,63.3,56.1,19.7,23.3,20.7,1401,289,Running 3x/week
34,Female,165.2,60.3,48.8,22.4,22.1,17.9,1592,162,Cycling 4x/week
33,Male,170.7,93.1,75.5,42.2,32,25.9,2575,639,Cycling 4x/week
28,Male,183.1,117.3,95,71.1,35,28.3,3058,267,Cycling 4x/week
52,Male,165.5,93.1,84.5,19.7,34,30.9,2109,632,Cycling 4x/week
38,Female,157.2,55.8,47,26.1,22.6,19,1575,503,Running 3x/week
24,Male,163.9,90.5,78.6,31.6,33.7,29.3,2570,616,Swimming 2x/week
55,Female,161.4,66.7,53.8,40.3,25.6,20.7,1644,250,Gym 3x/week
63,Female,165,61,53.9,20,22.4,19.8,1175,440,Cycling 4x/week
61,Female,163.9,83.3,75.3,16.3,31,28,1889,640,Swimming 2x/week
48,Female,154.3,75.8,65.1,33,31.8,27.4,1678,561,Cycling 4x/week
50,Female,168.4,89.4,75.4,42.9,31.5,26.6,1990,390,Cycling 4x/week
38,Male,175.5,76.5,65.1,27.5,24.8,21.1,2161,404,Running 3x/week
48,Male,185.1,117.7,96,46.4,34.4,28,3065,285,Running 3x/week
22,Female,158.2,80.4,65.1,24.2,32.1,26,2005,557,Cycling 4x/week
49,Female,152.5,51.5,44.5,21.6,22.1,19.1,1237,297,HIIT 3x/week
33,Female,163.5,81.4,73.3,15.4,30.5,27.4,1654,381,Gym 3x/week
70,Female,152.9,53.3,47.9,18.6,22.8,20.5,975,188,Swimming 2x/week
70,Female,166.8,90.9,76.1,27,32.7,27.4,1940,464,Cycling 4x/week
31,Male,178.5,90.2,83.9,10.9,28.3,26.3,2552,514,Gym 3x/week
27,Female,166.9,82.1,76.8,14.8,29.5,27.6,1905,329,Running 3x/week
34,Male,168.4,88.4,75.5,40.5,31.2,26.6,2284,528,Running 3x/week
26,Female,158.2,60.4,52.9,20.1,24.1,21.1,1498,649,Cycling 4x/week
29,Female,162.3,71.4,58.7,42.2,27.1,22.3,1810,320,Cycling 4x/week
22,Female,160.6,86.3,73.2,31.4,33.5,28.4,2084,478,Cycling 4x/week
28,Male,173.2,104,95.3,28.7,34.7,31.8,2913,579,Cycling 4x/week
53,Male,168.6,69.5,59.8,22.3,24.5,21.1,1825,323,Gym 3x/week
20,Male,170.7,84.4,71,38.4,28.9,24.3,2280,268,Cycling 4x/week
37,Male,173.4,75.8,68.5,12.4,25.2,22.8,2055,152,Cycling 4x/week
20,Male,180.1,101.9,89.7,28.4,31.4,27.7,2762,557,Gym 3x/week
48,Male,164.9,77.9,70.3,12,28.7,25.9,2104,279,Running 3x/week
68,Male,180.8,90.2,76.6,43.1,27.6,23.4,2034,345,Cycling 4x/week
36,Female,161.8,85.4,76.9,14.5,32.6,29.4,1931,177,HIIT 3x/week
40,Male,178.6,96.7,86.3,36.3,30.3,27.1,2375,163,Swimming 2x/week
58,Male,172.9,78.6,65.1,45.9,26.3,21.8,1971,279,HIIT 3x/week
51,Female,152.7,79,70.9,15.7,33.9,30.4,1693,632,Swimming 2x/week
67,Male,165.3,77.8,63.1,23.5,28.5,23.1,1615,486,Swimming 2x/week
41,Male,170.6,76,69.9,20.8,26.1,24,2132,294,Running 3x/week
25,Male,176.4,74.9,65.1,31.9,24.1,20.9,2099,164,Gym 3x/week
22,Male,170.5,92.4,84.3,24.7,31.8,29,2677,572,HIIT 3x/week
70,Male,165.2,68.2,63,8.8,25,23.1,1493,172,HIIT 3x/week
39,Female,175,82.4,72.4,24.1,26.9,23.6,2051,572,Cycling 4x/week
35,Male,171.5,101.3,87.6,22.1,34.5,29.8,2762,245,Gym 3x/week
24,Male,179.2,86.8,81.2,8.9,27,25.3,2505,405,Swimming 2x/week
40,Male,176.1,84,73.1,19.7,27.1,23.6,2334,488,HIIT 3x/week
65,Male,180.2,107.9,95.9,20.6,33.2,29.5,2639,247,HIIT 3x/week
57,Male,182.1,108,87.5,55.9,32.6,26.4,2763,453,Swimming 2x/week
63,Male,183.1,93.2,78.7,33.3,27.8,23.5,2283,163,Running 3x/week
40,Male,183.8,115.6,109.6,11.2,34.2,32.4,3129,323,HIIT 3x/week
40,Male,163.1,84.1,70.4,43,31.6,26.5,2124,340,Gym 3x/week
26,Female,169.9,67.6,63.7,6.6,23.4,22.1,1925,472,Running 3x/week
29,Male,173.8,103.5,88.9,38.3,34.3,29.4,2880,285,Swimming 2x/week
19,Female,163.7,77.1,72.4,13.6,28.8,27,1900,472,Gym 3x/week
28,Female,160.7,83,71.2,24.9,32.2,27.6,2032,266,HIIT 3x/week
65,Female,170.5,88.2,71.8,31.2,30.3,24.7,1598,584,Cycling 4x/week
62,Male,183.1,97.9,81.3,26.6,29.2,24.2,2424,318,Running 3x/week
36,Female,173.9,84.1,68.9,42.1,27.8,22.8,1975,473,Cycling 4x/week
19,Male,181.6,86,72,28.9,26.1,21.8,2678,308,Gym 3x/week
49,Female,160.7,79.8,66.5,24.5,30.9,25.8,1568,199,HIIT 3x/week
31,Male,169.7,65.3,53.8,31.8,22.7,18.7,2004,343,Running 3x/week
20,Female,157,76.1,66.5,22.6,30.9,27,1755,244,Gym 3x/week
31,Male,171.6,84.4,69.2,22.9,28.7,23.5,2246,554,Gym 3x/week
19,Male,167.3,61.6,58,10.7,22,20.7,1779,547,Running 3x/week
39,Female,160.5,81.3,74.9,11.2,31.6,29.1,1769,228,Running 3x/week
39,Male,174.8,88.4,73.7,51,28.9,24.1,2424,447,Cycling 4x/week
63,Male,181.9,93.7,88.1,18.9,28.3,26.6,2307,227,HIIT 3x/week
33,Female,158.5,60.2,55.3,12.1,24,22,1491,543,Running 3x/week
24,Female,174.5,74.2,64.8,28.6,24.4,21.3,1756,157,Gym 3x/week
36,Female,151.7,54,46.1,16.9,23.5,20,1450,247,Gym 3x/week
59,Male,180.2,97.5,80.8,46.5,30,24.9,2269,353,Gym 3x/week
23,Female,151.6,68.6,65.1,12.4,29.9,28.3,1647,626,Running 3x/week
40,Male,186.1,102.5,84,42.7,29.6,24.3,2665,243,HIIT 3x/week
48,Male,169.3,82.7,72.1,28.4,28.9,25.2,2120,411,Swimming 2x/week
59,Female,171.3,91.8,81,30.6,31.3,27.6,1698,337,Gym 3x/week
51,Male,173.4,83.6,70.2,38,27.8,23.4,2184,256,HIIT 3x/week
26,Male,164.2,82.4,76.3,12.7,30.5,28.3,2190,335,Cycling 4x/week
40,Female,158.3,76.3,69.2,10.7,30.5,27.6,1784,339,Gym 3x/week
47,Male,177.1,86.8,77.5,20.3,27.6,24.7,2247,244,HIIT 3x/week
64,Male,175.7,99.1,91.8,16.3,32.1,29.7,2292,180,Gym 3x/week
28,Female,161.1,63.7,51.8,26.9,24.5,20,1719,238,Cycling 4x/week
57,Male,175.8,93.7,87.3,14.5,30.3,28.2,2437,515,Running 3x/week
40,Male,181,110.8,90.7,44.2,33.8,27.7,2766,581,HIIT 3x/week
69,Male,171.2,92.5,77,46,31.5,26.3,2022,587,HIIT 3x/week
68,Female,153.5,63.4,53.6,18.4,26.9,22.8,1375,452,Gym 3x/week
26,Female,152,79.5,67.1,23,34.4,29,1828,574,Gym 3x/week
38,Female,161.5,59.1,51.5,26,22.7,19.7,1406,608,Running 3x/week
41,Male,171,77.8,64,30.1,26.6,21.9,1910,274,Swimming 2x/week
29,Female,156.2,83.4,75.6,13.5,34.2,31,1974,549,Cycling 4x/week
41,Female,174.5,79.5,74.4,15.6,26.1,24.4,1807,327,Cycling 4x/week
22,Male,185.7,85,70.7,47.4,24.7,20.5,2298,642,Swimming 2x/week
32,Male,178.9,103.8,92.1,23.4,32.4,28.8,2643,363,Running 3x/week
36,Female,172.8,93.7,86.4,12.7,31.4,28.9,2015,376,Swimming 2x/week
65,Male,179.7,100.3,94.7,11.1,31,29.3,2410,375,Swimming 2x/week
42,Male,165.9,61.3,54,25.4,22.3,19.6,1669,560,Swimming 2x/week
39,Female,166.3,76.8,65.7,27.6,27.8,23.7,1675,315,Cycling 4x/week
23,Male,176.6,96.9,78.8,62.6,31.1,25.3,2708,201,Running 3x/week
29,Female,155.2,79.2,73.5,11.7,32.9,30.5,1995,255,Swimming 2x/week
30,Male,176.3,89.3,77,29.1,28.7,24.8,2498,379,Swimming 2x/week
68,Male,172.1,67.8,55.8,40.8,22.9,18.9,1456,577,Cycling 4x/week
49,Female,156,75.3,62.9,19.6,30.9,25.8,1811,428,Swimming 2x/week
66,Female,159.6,79.9,64.7,52,31.3,25.4,1688,184,Swimming 2x/week
51,Female,152.9,53,43.7,22,22.7,18.7,1212,603,HIIT 3x/week
59,Female,152.2,72.4,64.9,16.3,31.3,28,1614,513,Swimming 2x/week
45,Male,179.9,112.3,92.7,56.9,34.7,28.6,2998,179,HIIT 3x/week
67,Male,167.5,83.7,68.8,42.2,29.9,24.5,2086,356,Cycling 4x/week
21,Female,174.5,100.2,84.6,40,32.9,27.8,2038,226,Running 3x/week
65,Female,158.8,67.9,57.9,29.6,26.9,23,1465,335,Gym 3x/week
25,Female,172.6,89.6,76.9,19.7,30.1,25.8,2197,469,Swimming 2x/week
64,Female,159.3,73.4,66.1,11.4,28.9,26.1,1539,476,Cycling 4x/week
26,Male,169.8,93.5,78.2,39.1,32.5,27.1,2677,220,Running 3x/week
42,Female,157.7,59,51.9,17.1,23.7,20.9,1395,261,HIIT 3x/week
56,Male,180.7,91,74.5,52.6,27.9,22.8,2098,273,Gym 3x/week
20,Male,171,79.4,73.7,12.7,27.1,25.2,2392,458,Swimming 2x/week
53,Male,172.9,92.5,87.3,14.6,30.9,29.2,2306,471,Cycling 4x/week
18,Male,183.4,74.4,69.2,12.4,22.1,20.6,2396,542,Gym 3x/week
57,Female,166.7,83.4,70.2,30.4,30,25.3,1872,410,HIIT 3x/week
64,Female,163.2,83.2,67.6,43.2,31.2,25.4,1834,290,Gym 3x/week
47,Male,170.2,64.5,60.3,12.5,22.3,20.8,1686,319,Gym 3x/week
42,Male,174.6,90.1,77.6,27.2,29.6,25.5,2433,644,Swimming 2x/week
46,Male,186.5,83.8,77.5,21.5,24.1,22.3,2252,426,Cycling 4x/week
31,Male,166.9,62,52.3,26,22.2,18.8,1710,219,HIIT 3x/week
59,Male,179.1,93.9,87.1,23.2,29.3,27.2,2504,269,Gym 3x/week
26,Male,174.1,78.6,73.3,12.4,26,24.2,2242,545,Cycling 4x/week
30,Female,167.7,84.6,76.3,28,30.1,27.1,1848,610,Gym 3x/week
41,Female,170.1,65.4,59.2,15.8,22.6,20.5,1661,594,Gym 3x/week
46,Male,174.8,87.1,70.6,43.4,28.5,23.1,2182,632,Cycling 4x/week
51,Male,176.8,89.4,82.6,19.4,28.6,26.4,2124,322,Cycling 4x/week
30,Male,166.3,83.5,78.5,15.9,30.2,28.4,2402,596,HIIT 3x/week
29,Male,171.2,90.5,84.4,10.1,30.9,28.8,2518,278,Running 3x/week
45,Female,163.2,60.4,55.2,15.8,22.7,20.7,1430,591,Gym 3x/week
20,Male,181.9,110.6,93.1,35.1,33.4,28.1,2953,233,HIIT 3x/week
51,Female,158.5,78.3,65.9,25.4,31.2,26.3,1544,428,HIIT 3x/week
60,Female,170,100.9,86,25.5,34.9,29.8,1801,628,Running 3x/week
59,Female,160.8,64.7,57.3,15.5,25,22.1,1290,456,Gym 3x/week
19,Male,169.2,85.2,70.6,35,29.8,24.7,2400,495,Cycling 4x/week
25,Female,157.2,80.2,66.6,47.1,32.5,26.9,2027,420,Swimming 2x/week
36,Male,186,94.2,84.6,32.7,27.2,24.5,2482,432,Running 3x/week
39,Female,171,83.7,78.3,17.4,28.6,26.8,1753,646,Swimming 2x/week
36,Female,155.3,75.3,64.4,21.8,31.3,26.7,1506,539,Swimming 2x/week
36,Female,171.7,67.6,56.1,25.7,22.9,19,1754,205,Running 3x/week
62,Female,163.4,79.1,65.6,27.8,29.6,24.6,1712,224,HIIT 3x/week
63,Female,161.9,91.6,74.5,32.6,34.9,28.4,1669,179,Cycling 4x/week
40,Female,163.6,60.5,57.4,10.6,22.6,21.5,1467,250,Cycling 4x/week
23,Female,160.3,80.7,75.6,13.9,31.4,29.4,1938,432,Gym 3x/week
34,Male,172,82,73.6,21.1,27.7,24.9,2178,285,Cycling 4x/week
66,Female,170.1,74.1,59.8,21.5,25.6,20.6,1536,422,Swimming 2x/week
46,Female,153.2,61.7,52.1,30.5,26.3,22.2,1484,514,Cycling 4x/week
65,Male,185.2,106.2,93.5,41.7,31,27.3,2627,153,Swimming 2x/week
34,Male,165.9,69.1,58,24.1,25.1,21.1,2013,572,Swimming 2x/week
62,Female,173.4,72.7,66,17.6,24.2,21.9,1690,525,Running 3x/week
40,Male,178.9,93.9,88,16.2,29.3,27.5,2547,502,HIIT 3x/week
50,Male,186,114.6,93.2,50.6,33.1,26.9,2970,583,Cycling 4x/week
64,Female,156.9,60.6,54.2,17.2,24.6,22,1192,341,Running 3x/week
36,Male,169.5,98.4,90.6,23.1,34.3,31.5,2696,364,Swimming 2x/week
69,Female,170.6,76.9,70.4,16.5,26.4,24.2,1667,550,Running 3x/week
20,Male,180.5,107.9,98.6,25.3,33.1,30.3,2797,268,Swimming 2x/week
41,Female,163.4,81.9,70.3,24.8,30.7,26.3,1722,618,Gym 3x/week
25,Male,167,74.5,59.8,24.1,26.7,21.4,2154,520,HIIT 3x/week
18,Male,169.4,83.6,78.7,12,29.1,27.4,2516,317,Gym 3x/week
25,Male,179.2,72.7,66.5,9.9,22.7,20.7,2072,327,Swimming 2x/week
44,Female,169.1,99.2,89.9,17,34.7,31.4,2060,225,Gym 3x/week
47,Female,159.5,58.3,49.4,18.8,22.9,19.4,1344,304,Swimming 2x/week
35,Female,172.7,89.6,81.8,23.2,30,27.4,1828,463,Cycling 4x/week
28,Male,177.7,109.5,87.8,38.3,34.7,27.8,2852,585,Running 3x/week
67,Male,178,108.6,95.5,45.2,34.3,30.1,2673,489,Swimming 2x/week
38,Female,161.9,60.6,52.3,21.6,23.1,20,1457,536,Cycling 4x/week
21,Female,161.8,70,58.7,35.1,26.7,22.4,1726,195,HIIT 3x/week
53,Male,186.7,99.3,87.1,31.5,28.5,25,2562,226,Running 3x/week
18,Male,164.9,81.4,75,13.9,29.9,27.6,2454,310,Running 3x/week
40,Female,161.3,83.6,79.3,11.9,32.1,30.5,1875,595,Gym 3x/week
33,Female,156.3,56,46.3,31,22.9,19,1476,172,Swimming 2x/week
28,Female,174.8,87.2,71.6,36.8,28.5,23.4,2124,152,Gym 3x/week
58,Male,183.8,102.3,86.3,35.1,30.3,25.6,2443,157,Swimming 2x/week
35,Male,171.3,99.7,81.6,35.6,34,27.8,2678,274,Swimming 2x/week
54,Male,186.1,95.7,89.8,20.3,27.6,25.9,2544,603,Gym 3x/week
35,Male,180.9,99,87.6,35.1,30.3,26.8,2660,560,Swimming 2x/week
48,Male,171.6,96.7,79.5,35.6,32.8,27,2574,266,Gym 3x/week
70,Female,165,64.1,56,15.5,23.6,20.6,1421,276,Gym 3x/week
24,Male,173.5,91.9,86.3,15.5,30.5,28.7,2562,383,Gym 3x/week
25,Male,176.3,82.3,73.5,28.6,26.5,23.7,2353,377,Cycling 4x/week
51,Male,178.6,98.3,90.1,16.6,30.8,28.3,2574,463,Gym 3x/week
47,Female,157.4,66.6,60.4,12.8,26.9,24.4,1425,533,Running 3x/week
31,Female,155,83.6,78,18,34.8,32.5,1725,513,HIIT 3x/week
27,Female,158.7,59.1,52.2,14.8,23.5,20.7,1708,224,HIIT 3x/week
53,Male,169.1,86.2,74.5,29.9,30.1,26,2300,601,Gym 3x/week
32,Male,186.7,100.5,95.5,7.9,28.8,27.4,2594,344,HIIT 3x/week
46,Female,165.5,82.1,75,16.3,30,27.4,1887,612,HIIT 3x/week
43,Male,167.1,84.8,70.8,37.5,30.4,25.3,2221,269,Cycling 4x/week
31,Male,165.4,77.5,68.8,16.7,28.3,25.1,1926,303,Swimming 2x/week
38,Female,170.3,65.8,61.1,10.2,22.7,21.1,1467,293,Running 3x/week
66,Female,159.4,72.3,60.7,39,28.5,23.9,1557,563,Gym 3x/week
43,Female,159,80.6,72.1,13.3,31.9,28.6,1595,604,Running 3x/week
41,Female,163.4,84,76.7,24,31.5,28.7,1977,528,Cycling 4x/week
68,Female,168.9,67.6,59.1,23.8,23.7,20.7,1367,530,Running 3x/week
48,Female,172.7,89.9,85.1,13.7,30.1,28.5,1723,605,Swimming 2x/week
47,Female,158.3,71.9,60.1,24,28.7,24,1653,246,Cycling 4x/week
40,Female,164.3,77.1,64,38,28.6,23.7,1603,281,Cycling 4x/week
40,Female,171.8,100.7,89.1,30,34.1,30.2,1961,462,Running 3x/week
54,Male,180.7,106.3,86.7,34.2,32.6,26.6,2462,488,Gym 3x/week
61,Female,153.2,69.7,56.7,34.2,29.7,24.2,1407,217,HIIT 3x/week
62,Male,173.9,94.9,84.1,33.6,31.4,27.8,2309,210,Swimming 2x/week
23,Female,167.6,98.1,91.1,15.5,34.9,32.4,2024,373,Running 3x/week
21,Male,176.8,75.9,69.1,11.8,24.3,22.1,2222,265,Cycling 4x/week
57,Male,179.2,76.6,61.4,50,23.9,19.1,1846,635,HIIT 3x/week
62,Female,168.7,70.1,63,17.9,24.6,22.1,1711,641,Running 3x/week
40,Male,181.3,103.2,85.8,60.5,31.4,26.1,2559,294,Gym 3x/week
65,Male,168.1,63.8,53.8,21.6,22.6,19,1582,384,Running 3x/week
68,Male,171.8,72.9,61.1,35.4,24.7,20.7,1939,245,Gym 3x/week
67,Female,153.2,58.6,47.3,27.8,25,20.2,1103,291,Gym 3x/week
66,Female,167.7,96.4,80,41.2,34.3,28.4,1864,200,HIIT 3x/week
61,Male,169.1,74.8,61.6,22.9,26.2,21.6,1638,373,Swimming 2x/week
21,Female,160.9,57.1,50.3,21.2,22,19.4,1500,206,Running 3x/week
20,Female,153.5,79.9,64,38.2,33.9,27.1,1966,471,Gym 3x/week
53,Male,170.5,66.9,59.3,14.4,23,20.4,1865,531,Swimming 2x/week
68,Female,172.1,72.4,68.4,10.4,24.4,23.1,1425,509,Running 3x/week
57,Male,168.8,82.5,76.5,12.3,29,26.9,2131,616,Gym 3x/week
52,Female,165.3,75.3,71.2,13.2,27.6,26.1,1578,431,Gym 3x/week
67,Male,167.3,87,73.5,43,31.1,26.3,1955,353,Swimming 2x/week
65,Female,168.4,70.1,64.2,18.1,24.7,22.6,1332,366,Cycling 4x/week
30,Female,157.7,62.3,55.5,21.8,25,22.3,1547,442,Swimming 2x/week
42,Male,166.3,90.1,81.8,27.6,32.6,29.6,2161,480,Gym 3x/week
29,Female,168.8,94.3,82.7,23,33.1,29,2094,455,Cycling 4x/week
69,Male,163.6,61.1,49.5,27.8,22.8,18.5,1418,202,Swimming 2x/week
50,Male,185.2,101.7,89.7,21.3,29.7,26.2,2461,322,Cycling 4x/week
23,Male,171.5,64.9,57.6,15.1,22.1,19.6,2170,225,Gym 3x/week
66,Female,174.4,74.2,61,42.2,24.4,20.1,1523,358,Running 3x/week
23,Male,174.9,72.5,68.7,6.4,23.7,22.4,1975,465,HIIT 3x/week
59,Male,175,74.5,67.1,22.2,24.3,21.9,1694,167,HIIT 3x/week
58,Male,181.9,105.2,92.3,23.1,31.8,27.9,2748,187,Swimming 2x/week
49,Female,172,78.7,70.7,19.8,26.6,23.9,1822,591,Gym 3x/week
32,Male,174.4,79.9,69.4,26.4,26.3,22.8,2032,581,Swimming 2x/week
38,Male,174.5,82.5,68,24.7,27.1,22.3,2075,634,Gym 3x/week
52,Male,185.1,91.6,84.9,12.9,26.7,24.8,2309,523,Cycling 4x/week
41,Male,174.2,91.4,85.1,21.7,30.1,28,2274,354,Swimming 2x/week
26,Female,168.8,64.4,55.9,17.7,22.6,19.6,1539,451,Cycling 4x/week
45,Female,160.7,66.8,56.4,28.8,25.9,21.8,1663,495,HIIT 3x/week
60,Female,163.2,68.1,54.7,20.3,25.6,20.5,1593,231,Swimming 2x/week
62,Male,177.9,107.6,93.2,45.2,34,29.4,2741,166,Gym 3x/week
28,Male,182.2,114.1,93.8,49.7,34.4,28.2,3031,434,Gym 3x/week
68,Female,152.6,53.5,46.3,20.2,22.9,19.9,988,228,Running 3x/week
68,Female,168.6,63,53.1,19.1,22.2,18.7,1457,564,Cycling 4x/week
55,Female,174.8,96,82.8,21,31.4,27.1,2156,412,Gym 3x/week
43,Female,159.4,66.5,54.4,33.7,26.1,21.4,1531,330,Swimming 2x/week
62,Female,174.9,70.4,65.2,11.2,23,21.3,1500,638,Running 3x/week
54,Female,153.5,64.2,55.2,19.1,27.2,23.4,1339,545,Cycling 4x/week
23,Male,172.6,72.7,60.2,42.8,24.4,20.2,2232,287,HIIT 3x/week
23,Female,163.8,85.8,78.2,13,32,29.1,1783,295,Running 3x/week
60,Female,169,65.5,60.7,16.1,22.9,21.3,1362,262,Running 3x/week
41,Male,170.5,85.6,72.4,20,29.5,24.9,2230,523,Cycling 4x/week
27,Female,158,78.4,69.6,24.5,31.4,27.9,1782,536,Running 3x/week
39,Female,153.7,58.1,50,21.3,24.6,21.2,1440,418,Running 3x/week
27,Female,167.3,77.5,73,11.9,27.7,26.1,1971,186,Swimming 2x/week
67,Female,165.8,86.8,72.4,26,31.6,26.3,1599,426,Swimming 2x/week
23,Female,152.7,78.3,73.7,7.9,33.6,31.6,1795,533,HIIT 3x/week
27,Male,165.5,90.9,74.4,45.7,33.2,27.1,2419,455,Gym 3x/week
28,Male,174.5,88.7,77.5,20.4,29.1,25.5,2627,493,Running 3x/week
53,Female,154.9,64.9,53.7,32.9,27.1,22.4,1536,230,Cycling 4x/week
44,Male,174.4,67.1,57.9,25.2,22.1,19,1985,281,HIIT 3x/week
48,Male,175.4,89.6,71.8,41,29.1,23.3,2481,183,Running 3x/week
35,Male,183.6,100.7,83.9,27.6,29.9,24.9,2764,225,Running 3x/week
61,Female,157.1,82.2,67.8,29.3,33.3,27.5,1599,348,Cycling 4x/week
28,Female,166.2,78,63.2,44.2,28.2,22.9,1674,308,HIIT 3x/week
47,Female,161.5,58.8,52.8,17.7,22.5,20.3,1369,593,Cycling 4x/week
59,Female,172,72.5,65.5,11.5,24.5,22.1,1454,580,Running 3x/week
36,Female,153.5,78.6,65.7,39,33.4,27.9,1705,221,Cycling 4x/week
64,Female,174.9,88.6,80,29.1,28.9,26.1,1937,571,Swimming 2x/week
64,Female,153.1,62.8,58.2,12.8,26.8,24.8,1268,475,Cycling 4x/week
19,Female,157.4,65.6,57.8,16.1,26.5,23.3,1654,185,Cycling 4x/week
42,Female,172.4,78.7,63.5,40.4,26.5,21.4,1834,402,HIIT 3x/week
48,Female,169,98.7,81.8,35.6,34.6,28.7,1824,515,Cycling 4x/week
35,Male,174.7,98.9,93.2,9.8,32.4,30.5,2742,313,HIIT 3x/week
43,Male,166.1,76.8,72.7,12.5,27.9,26.3,1874,576,Gym 3x/week
29,Male,171.7,85.5,75.5,34.9,29,25.6,2201,218,Running 3x/week
70,Female,153.1,70.1,56.4,33.2,29.9,24.1,1254,646,Swimming 2x/week
43,Male,165.5,66.7,56.3,27.3,24.3,20.6,1695,479,Cycling 4x/week
64,Male,185.3,82.5,67,32.7,24,19.5,2152,637,HIIT 3x/week
53,Male,186.7,85.2,69.7,54,24.5,20,2338,171,HIIT 3x/week
27,Female,161.6,66,57.5,28.1,25.3,22,1581,253,Running 3x/week
19,Female,164.7,66.7,62.1,7.9,24.6,22.9,1697,606,HIIT 3x/week
38,Male,180,98.5,82.7,40.9,30.4,25.5,2629,212,Swimming 2x/week
19,Female,173.5,95.2,76.3,33.6,31.6,25.4,2200,540,Swimming 2x/week
46,Male,168,67.6,56.2,27.6,24,19.9,1641,180,HIIT 3x/week
24,Male,172.6,86.7,80.9,16.5,29.1,27.1,2416,561,Cycling 4x/week
67,Male,176,93.1,76.5,36.2,30.1,24.7,2362,353,HIIT 3x/week
54,Female,162.8,83,70.4,28.8,31.3,26.5,1826,168,Swimming 2x/week
53,Male,173.8,86.6,80.7,9.9,28.7,26.7,2093,458,Running 3x/week
68,Female,162.1,65,61.3,11.9,24.7,23.3,1190,639,Running 3x/week
31,Female,167.3,84.2,74.5,25.9,30.1,26.6,2010,271,Cycling 4x/week
26,Female,152.5,58.1,46.6,25.2,25,20,1525,248,Cycling 4x/week
33,Male,174.3,67,58.2,13.3,22,19.1,1933,432,Cycling 4x/week
27,Male,177.8,97.6,82,50.4,30.9,25.9,2623,180,Swimming 2x/week
49,Female,170.9,75.8,70.3,11.5,26,24.1,1592,285,HIIT 3x/week
36,Male,168.9,75.3,70.4,9.3,26.4,24.7,2152,407,Gym 3x/week
31,Female,174.8,78,68.5,27.6,25.5,22.4,1978,192,Gym 3x/week
69,Male,174.1,90.6,81.3,15.1,29.9,26.8,2050,423,Gym 3x/week
54,Female,171.2,75.3,65.3,34.2,25.7,22.3,1597,356,HIIT 3x/week
39,Male,171.4,75.7,67.1,24.9,25.8,22.8,2206,437,Cycling 4x/week
30,Female,168.7,70.3,66.5,7.3,24.7,23.4,1790,514,Running 3x/week
37,Female,152.6,77.1,69.7,25.1,33.1,29.9,1797,637,Swimming 2x/week
59,Female,158.7,83.1,68.2,35.6,33,27.1,1494,167,Cycling 4x/week
69,Female,165.3,65,55.9,22.1,23.8,20.5,1516,415,HIIT 3x/week
53,Male,177.5,102.1,86.5,52.1,32.4,27.5,2421,612,HIIT 3x/week
18,Female,152.9,66.7,59.6,13.5,28.5,25.5,1669,616,HIIT 3x/week
23,Male,163.2,88.6,79.1,23.2,33.3,29.7,2477,340,Cycling 4x/week
39,Male,169.4,82.6,73.1,30.7,28.8,25.5,2292,360,HIIT 3x/week
52,Female,173.4,82.6,74.3,13.5,27.5,24.7,1638,334,Swimming 2x/week
